Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision
95-478-2650,37,Female,Middle,Single,Bachelor's,Middle,São Roque,Software & Apps,$461.00 ,7,Online,2,4,1.0,High,Not Sensitive,0,8,Low,Tablet,Cash,7/10/2024,False,True,Wants-based,Standard,9
21-755-8745,37,Male,High,Widowed,High School,High,Montpellier,Packages),$136.53 ,3,Mixed,2,4,2.0,High,Not Sensitive,1,3,High,Smartphone,PayPal,5/31/2024,True,True,Planned,Standard,10
29-625-7057,31,Female,Middle,Single,Master's,Middle,Nesovice,Arts & Crafts,$489.05 ,10,Online,5,3,0.0,High,Somewhat Sensitive,2,2,High,Desktop,PayPal,9/4/2024,True,True,Planned,Standard,7
56-506-4709,50,Male,Middle,Married,Bachelor's,Middle,Glendale,Arts & Crafts,$135.80 ,2,In-Store,2,5,1.0,Low,Somewhat Sensitive,1,2,High,Desktop,Debit Card,11/16/2024,False,True,Planned,No Preference,9
25-839-8670,45,Female,Middle,Widowed,High School,Middle,Tála,Health Supplements,$382.24 ,12,In-Store,1,5,1.0,High,Very Sensitive,1,4,High,Tablet,PayPal,7/6/2024,True,True,Planned,Standard,3
55-163-1389,24,Male,High,Divorced,Bachelor's,High,Nasielsk,Mobile Accessories,$433.82 ,6,Online,3,2,1.0,Medium,Somewhat Sensitive,0,8,Medium,Desktop,Other,6/29/2024,False,True,Planned,Express,10
17-198-5155,30,Female,High,Single,Bachelor's,High,Qianjin,Books,$52.34 ,6,In-Store,3,4,1.0,Low,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,5/21/2024,True,True,Planned,Express,13
35-198-9248,21,Female,Middle,Widowed,High School,Middle,Rzewnie,Toys & Games,$263.15 ,3,In-Store,1,5,1.0,High,Somewhat Sensitive,1,10,High,Tablet,Other,3/4/2024,True,False,Impulsive,Express,10
19-999-0134,30,Male,Middle,Widowed,Bachelor's,Middle,Hongqi,Health Care,$353.40 ,2,Online,2,3,2.0,Medium,Very Sensitive,0,1,Low,Tablet,Credit Card,12/6/2024,False,True,Impulsive,No Preference,3
57-989-1487,46,Female,Middle,Divorced,High School,High,Oeoh,Software & Apps,$329.41 ,5,In-Store,5,3,0.0,Medium,Somewhat Sensitive,1,1,High,Desktop,Cash,10/21/2024,True,True,Need-based,No Preference,2
07-816-2673,46,Female,Middle,Married,Master's,Middle,Topol’noye,Food & Beverages,$54.46 ,5,Online,4,5,1.0,High,Not Sensitive,1,1,Low,Tablet,Other,11/17/2024,False,False,Impulsive,Standard,1
70-761-3550,43,Male,High,Widowed,Master's,Middle,Kovářov,Books,$257.12 ,8,Online,2,1,0.0,High,Not Sensitive,2,1,High,Smartphone,Other,7/24/2024,True,False,Impulsive,No Preference,11
21-734-0212,24,Female,Middle,Widowed,High School,High,Namur,Beauty & Personal Care,$423.92 ,8,Mixed,3,1,2.0,Low,Somewhat Sensitive,0,9,High,Tablet,Credit Card,8/24/2024,False,True,Need-based,Standard,8
76-148-9413,43,Non-binary,High,Widowed,Master's,Middle,Benevides,Arts & Crafts,$111.24 ,9,Mixed,5,2,0.0,Medium,Somewhat Sensitive,0,2,High,Smartphone,Credit Card,8/6/2024,True,False,Need-based,No Preference,12
18-655-3670,29,Male,Middle,Widowed,High School,High,Prostřední Bečva,Office Supplies,$449.13 ,9,In-Store,2,1,0.5,Medium,Not Sensitive,2,2,Low,Tablet,Credit Card,6/12/2024,False,False,Planned,No Preference,14
72-431-5021,35,Female,High,Married,Master's,High,Oeiras,Animal Feed,$427.48 ,6,Online,4,2,0.0,Medium,Not Sensitive,1,1,Low,Smartphone,Debit Card,12/16/2024,True,False,Impulsive,Standard,11
07-479-3919,27,Female,Middle,Single,High School,High,Kýthnos,Sports & Outdoors,$171.61 ,3,Online,3,1,2.0,Low,Very Sensitive,1,6,High,Desktop,Credit Card,10/31/2024,True,False,Planned,Express,8
17-032-6274,40,Female,High,Married,Bachelor's,High,Rizal,Books,$240.28 ,3,Online,3,5,2.0,High,Not Sensitive,2,7,Medium,Tablet,Cash,12/7/2024,True,True,Impulsive,Standard,4
39-499-3854,25,Female,Middle,Married,Bachelor's,Middle,Huaidao,Hotels,$166.00 ,10,Online,5,3,0.0,High,Not Sensitive,2,10,Medium,Smartphone,PayPal,6/11/2024,False,False,Impulsive,Express,5
35-192-9050,32,Female,Middle,Married,Bachelor's,High,Hunkuyi,Animal Feed,$395.97 ,9,In-Store,1,4,0.0,Medium,Very Sensitive,1,6,Low,Tablet,Debit Card,8/18/2024,True,True,Wants-based,Standard,1
84-337-1016,19,Genderfluid,High,Widowed,High School,High,Longxing,Health Care,$333.32 ,8,Online,1,5,0.0,Low,Very Sensitive,0,3,High,Smartphone,Credit Card,10/5/2024,True,False,Planned,No Preference,3
75-083-3608,23,Male,Middle,Divorced,Master's,Middle,Hongguang,Sports & Outdoors,$414.83 ,2,Mixed,2,4,0.5,High,Somewhat Sensitive,2,4,High,Desktop,Credit Card,7/16/2024,False,False,Planned,Express,8
29-779-7209,34,Female,High,Widowed,Master's,High,Pilaya,Books,$391.38 ,5,In-Store,5,2,2.0,Low,Not Sensitive,0,7,Low,Tablet,Other,4/2/2024,False,False,Need-based,No Preference,8
12-409-5166,48,Male,Middle,Divorced,Bachelor's,High,Camp Ithier,Furniture,$368.40 ,11,Online,2,5,1.0,High,Not Sensitive,0,3,High,Desktop,Credit Card,6/21/2024,False,False,Need-based,No Preference,13
74-478-5950,37,Female,Middle,Divorced,Bachelor's,Middle,Luxi,Home Appliances,$424.39 ,9,Mixed,3,1,1.0,High,Somewhat Sensitive,0,7,Low,Smartphone,Credit Card,2/26/2024,True,False,Wants-based,No Preference,13
31-395-1286,47,Male,High,Married,High School,High,Ostashkov,Health Supplements,$197.12 ,10,In-Store,4,4,0.0,Low,Somewhat Sensitive,1,1,Medium,Tablet,Other,6/14/2024,True,True,Wants-based,Standard,10
60-838-4334,45,Male,High,Single,Bachelor's,High,Hongshanzui,Books,$454.57 ,9,Mixed,2,5,1.0,Low,Somewhat Sensitive,0,1,Medium,Smartphone,Debit Card,3/24/2024,True,True,Wants-based,Express,1
71-197-8227,37,Male,Middle,Divorced,High School,High,Tocoa,Electronics,$298.38 ,4,Mixed,3,4,2.0,High,Very Sensitive,0,2,Low,Tablet,Cash,4/27/2024,False,True,Need-based,Standard,3
15-530-3861,36,Male,High,Divorced,High School,High,Bayan Tuohai,Clothing,$111.70 ,6,Online,4,5,0.0,Medium,Somewhat Sensitive,2,5,High,Tablet,Credit Card,11/7/2024,False,False,Planned,Standard,7
05-465-8765,27,Female,High,Widowed,High School,Middle,Gjegjan,Luxury Goods,$380.99 ,7,Mixed,1,2,1.0,Low,Somewhat Sensitive,0,1,Medium,Desktop,Cash,12/9/2024,True,True,Need-based,No Preference,8
81-580-3810,36,Male,Middle,Married,High School,High,Créteil,Food & Beverages,$79.00 ,10,Online,1,2,1.0,Medium,Very Sensitive,2,6,Low,Smartphone,Cash,9/14/2024,False,True,Planned,Standard,7
74-353-6312,46,Female,Middle,Married,Bachelor's,Middle,Pameungpeuk,Groceries,$113.88 ,2,Online,5,2,2.0,Medium,Not Sensitive,2,4,High,Tablet,PayPal,3/29/2024,False,False,Wants-based,Express,9
78-824-1887,26,Male,Middle,Married,High School,Middle,Junshan,Travel & Leisure (Flights,$121.57 ,4,Mixed,1,5,0.0,High,Not Sensitive,0,4,High,Desktop,Other,6/6/2024,False,True,Impulsive,No Preference,13
31-218-0024,21,Female,High,Divorced,High School,Middle,Lewotola,Health Supplements,$215.54 ,11,Online,3,1,2.0,Low,Somewhat Sensitive,2,6,High,Desktop,Credit Card,4/8/2024,True,True,Planned,No Preference,10
15-711-4107,43,Male,High,Married,Bachelor's,High,Laocheng,Furniture,$87.03 ,10,Mixed,1,1,0.0,Low,Very Sensitive,1,5,High,Desktop,PayPal,8/11/2024,False,True,Need-based,No Preference,7
76-672-1193,19,Male,High,Divorced,High School,High,Guacarí,Travel & Leisure (Flights,$111.75 ,4,In-Store,1,4,0.0,High,Not Sensitive,1,6,High,Tablet,Debit Card,10/10/2024,False,True,Impulsive,Standard,8
46-503-5589,41,Female,High,Widowed,Master's,High,Sancang,Office Supplies,$136.20 ,2,Mixed,3,2,2.0,Low,Not Sensitive,0,1,High,Tablet,PayPal,6/15/2024,True,True,Need-based,Express,9
87-499-6916,48,Male,Middle,Married,High School,Middle,Ndewel,Food & Beverages,$439.31 ,4,In-Store,3,2,1.0,Medium,Very Sensitive,0,6,Medium,Smartphone,Debit Card,8/11/2024,False,True,Wants-based,No Preference,7
09-216-1957,31,Female,High,Divorced,Master's,Middle,Leśnica,Jewelry & Accessories,$178.04 ,5,In-Store,5,1,2.0,Medium,Somewhat Sensitive,0,5,High,Tablet,Credit Card,7/16/2024,False,False,Need-based,No Preference,12
23-253-2565,23,Female,High,Divorced,High School,High,Hinlayagan Ilaud,Toys & Games,$461.09 ,8,Online,4,1,0.0,Medium,Somewhat Sensitive,0,4,Medium,Smartphone,Debit Card,8/3/2024,True,False,Need-based,No Preference,8
90-093-0469,42,Male,Middle,Divorced,Bachelor's,High,Ōkuchi,Health Care,$444.87 ,11,Online,5,4,0.0,Medium,Not Sensitive,1,8,Low,Desktop,Other,11/29/2024,False,False,Wants-based,No Preference,7
38-935-1865,18,Female,High,Widowed,Bachelor's,High,Novoukrainskiy,Beauty & Personal Care,$160.82 ,7,In-Store,3,1,1.0,High,Somewhat Sensitive,0,1,High,Smartphone,Cash,7/9/2024,True,True,Wants-based,No Preference,3
70-895-5298,28,Female,Middle,Married,Master's,High,Pomar,Food & Beverages,$450.66 ,7,In-Store,2,5,0.0,High,Somewhat Sensitive,2,4,Medium,Tablet,Credit Card,6/13/2024,False,True,Need-based,No Preference,9
02-653-5884,42,Female,High,Married,Bachelor's,Middle,Zalţan,Arts & Crafts,$164.27 ,6,Online,5,3,2.0,High,Not Sensitive,2,7,Low,Desktop,PayPal,7/13/2024,True,False,Wants-based,No Preference,14
11-719-8800,37,Female,Middle,Widowed,Master's,High,Trélazé,Food & Beverages,$346.36 ,12,Mixed,4,5,0.0,Medium,Somewhat Sensitive,0,7,Medium,Smartphone,Credit Card,9/4/2024,False,False,Need-based,Standard,14
59-355-5251,33,Female,Middle,Widowed,High School,High,Messina,Animal Feed,$377.77 ,9,Mixed,4,2,1.0,Medium,Not Sensitive,1,5,Medium,Tablet,Credit Card,8/26/2024,True,True,Impulsive,Standard,3
82-572-9091,46,Female,Middle,Widowed,High School,Middle,Mrągowo,Travel & Leisure (Flights,$163.41 ,2,In-Store,5,5,2.0,Low,Not Sensitive,1,8,High,Desktop,Other,2/25/2024,True,True,Need-based,Express,4
08-733-0300,39,Female,Middle,Widowed,Bachelor's,High,Oslo,Books,$247.51 ,10,Mixed,2,1,2.0,Low,Somewhat Sensitive,1,8,Low,Tablet,Credit Card,7/1/2024,True,False,Impulsive,Standard,2
46-230-8307,38,Female,High,Single,Master's,Middle,La Roche-sur-Yon,Health Care,$485.42 ,5,Online,1,2,2.0,High,Somewhat Sensitive,1,6,High,Desktop,Other,11/13/2024,True,False,Wants-based,No Preference,4
13-792-4356,21,Male,High,Divorced,Bachelor's,Middle,Tianbao,Gardening & Outdoors,$162.31 ,8,In-Store,5,1,1.0,High,Very Sensitive,1,2,Medium,Tablet,Credit Card,10/5/2024,False,False,Need-based,No Preference,11
04-563-9091,37,Male,Middle,Widowed,Master's,High,Puqian,Office Supplies,$328.21 ,7,Mixed,5,5,2.0,Low,Not Sensitive,2,2,Low,Smartphone,Credit Card,2/14/2024,False,False,Need-based,No Preference,12
79-592-5396,30,Female,High,Married,Master's,High,Binalbagan,Sports & Outdoors,$268.59 ,4,Online,3,3,1.0,High,Very Sensitive,1,1,Medium,Desktop,Debit Card,4/5/2024,True,True,Need-based,Standard,3
39-952-4459,18,Female,High,Divorced,High School,High,Tessalit,Electronics,$257.37 ,7,Online,3,3,0.0,Medium,Very Sensitive,2,5,Medium,Smartphone,PayPal,2/1/2024,True,False,Wants-based,Express,13
67-935-7964,41,Female,Middle,Single,High School,High,Nikolayevsk,Office Supplies,$205.49 ,4,In-Store,5,3,2.0,Low,Somewhat Sensitive,2,2,High,Tablet,Cash,11/9/2024,True,False,Need-based,Express,11
26-828-2720,40,Male,High,Divorced,Master's,High,Dashuipo,Mobile Accessories,$407.91 ,7,In-Store,2,5,0.0,Low,Not Sensitive,0,5,Low,Tablet,Other,6/17/2024,True,True,Need-based,Standard,14
57-410-7415,33,Female,High,Divorced,Bachelor's,High,Týn nad Vltavou,Food & Beverages,$254.73 ,6,Online,4,3,0.0,Medium,Very Sensitive,0,3,Low,Smartphone,Other,6/1/2024,True,True,Impulsive,Express,3
62-989-8214,30,Female,Middle,Divorced,Bachelor's,High,Kaum Kaler,Clothing,$397.78 ,12,Online,3,3,1.0,Medium,Not Sensitive,2,7,Medium,Smartphone,PayPal,9/24/2024,False,True,Impulsive,No Preference,11
73-827-2774,33,Female,High,Married,Bachelor's,High,Gandapura,Electronics,$305.29 ,3,Online,2,3,1.0,Medium,Very Sensitive,1,8,Medium,Desktop,Debit Card,9/5/2024,True,True,Impulsive,Standard,10
57-345-3921,42,Female,High,Single,High School,Middle,Mondorf-les-Bains,Jewelry & Accessories,$393.45 ,12,In-Store,3,1,0.0,Low,Somewhat Sensitive,2,10,Medium,Desktop,Credit Card,10/6/2024,False,False,Need-based,Express,12
98-817-6731,30,Male,High,Married,Bachelor's,Middle,Manwakh,Health Supplements,$58.49 ,6,Online,2,2,0.0,Medium,Very Sensitive,0,8,High,Tablet,Other,7/29/2024,True,True,Planned,Express,7
27-806-4972,26,Female,High,Single,Master's,Middle,Obong,Health Care,$469.22 ,6,In-Store,1,1,1.0,High,Not Sensitive,0,1,Low,Tablet,Credit Card,8/7/2024,False,False,Wants-based,No Preference,7
15-640-6493,31,Male,High,Divorced,High School,Middle,Dālbandīn,Animal Feed,$184.74 ,5,In-Store,4,4,0.0,Medium,Very Sensitive,1,5,High,Tablet,Debit Card,11/27/2024,False,True,Impulsive,No Preference,10
58-788-8938,49,Male,High,Married,High School,Middle,Hachiōji,Health Supplements,$427.10 ,8,Mixed,1,2,1.0,High,Somewhat Sensitive,0,2,Medium,Desktop,PayPal,5/10/2024,False,True,Planned,No Preference,5
52-240-3825,34,Male,High,Widowed,High School,High,Jolo,Home Appliances,$326.82 ,4,Mixed,3,2,1.0,High,Somewhat Sensitive,2,5,Medium,Tablet,Credit Card,4/22/2024,True,False,Planned,Standard,4
76-982-8107,47,Female,Middle,Widowed,Master's,High,La Mohammedia,Electronics,$85.61 ,2,Online,4,2,1.0,High,Not Sensitive,1,3,Low,Desktop,Other,10/4/2024,True,True,Need-based,Standard,5
79-884-5600,36,Female,High,Widowed,Master's,Middle,Goiatuba,Books,$245.14 ,4,Online,4,5,1.0,High,Very Sensitive,1,4,Medium,Smartphone,PayPal,3/3/2024,True,False,Impulsive,Standard,3
80-607-9947,43,Male,High,Divorced,Bachelor's,Middle,Krajan Kidul Rojopolo,Toys & Games,$439.91 ,5,Online,1,4,2.0,Low,Somewhat Sensitive,0,9,Medium,Smartphone,Other,3/3/2024,False,False,Need-based,Express,10
54-164-2243,48,Male,Middle,Single,High School,Middle,Benito Juarez,Hotels,$298.73 ,4,Online,1,5,1.0,High,Not Sensitive,0,2,Low,Tablet,Debit Card,11/2/2024,False,True,Need-based,No Preference,4
14-784-5606,19,Genderqueer,High,Single,Bachelor's,High,Maní,Food & Beverages,$395.01 ,2,Mixed,1,2,2.0,Medium,Very Sensitive,0,6,Medium,Desktop,Credit Card,4/18/2024,True,False,Wants-based,Standard,3
47-992-7446,41,Male,Middle,Married,Bachelor's,High,Vitali,Electronics,$371.19 ,10,Mixed,1,2,2.0,High,Somewhat Sensitive,1,8,Medium,Desktop,Credit Card,8/27/2024,False,False,Planned,Express,1
37-513-5073,33,Female,Middle,Married,Master's,High,Mizque,Electronics,$193.76 ,10,Mixed,4,3,1.0,Medium,Not Sensitive,0,2,Low,Desktop,Debit Card,2/3/2024,False,False,Wants-based,No Preference,12
72-830-1211,38,Male,High,Single,Bachelor's,High,Cipolletti,Jewelry & Accessories,$496.11 ,2,Mixed,2,3,1.0,High,Somewhat Sensitive,2,8,High,Smartphone,PayPal,6/8/2024,True,False,Impulsive,Standard,12
40-232-5631,47,Genderfluid,Middle,Single,Bachelor's,Middle,Suvorov,Software & Apps,$227.47 ,2,Online,2,2,2.0,Low,Very Sensitive,1,4,High,Tablet,Other,10/30/2024,True,False,Need-based,Express,9
22-414-4955,35,Male,High,Widowed,Bachelor's,High,Dragash,Health Supplements,$342.99 ,3,In-Store,4,2,2.0,Low,Very Sensitive,0,6,Medium,Smartphone,Other,11/22/2024,False,True,Impulsive,Express,6
99-089-1930,49,Non-binary,High,Married,Master's,Middle,Freiburg im Breisgau,Packages),$306.48 ,5,Mixed,1,3,0.0,Medium,Very Sensitive,0,9,Low,Tablet,Credit Card,9/15/2024,False,True,Need-based,Standard,14
62-198-2511,22,Male,Middle,Divorced,Master's,High,Macau,Home Appliances,$308.54 ,3,Mixed,1,3,0.0,High,Not Sensitive,1,5,High,Desktop,Credit Card,9/29/2024,False,True,Wants-based,Standard,7
21-297-1223,49,Male,High,Single,Master's,Middle,Pancas,Travel & Leisure (Flights,$124.17 ,12,Mixed,5,2,2.0,High,Very Sensitive,2,4,High,Smartphone,Debit Card,11/16/2024,True,True,Planned,Standard,6
71-473-2656,27,Female,High,Married,Bachelor's,Middle,Gordon Town,Health Care,$393.03 ,4,Mixed,4,4,0.0,High,Somewhat Sensitive,1,3,Medium,Smartphone,Cash,9/3/2024,True,True,Planned,Standard,7
22-382-9636,32,Male,Middle,Married,Bachelor's,High,Kamal,Health Care,$426.21 ,3,Mixed,1,4,2.0,High,Somewhat Sensitive,2,5,High,Smartphone,Other,4/18/2024,False,True,Wants-based,Standard,2
85-391-1888,18,Female,High,Widowed,Master's,Middle,Zhongdong,Software & Apps,$413.70 ,8,Mixed,3,3,0.3,Low,Very Sensitive,0,9,High,Desktop,Other,6/17/2024,False,True,Need-based,No Preference,6
43-172-9431,25,Male,Middle,Divorced,High School,Middle,Lameira,Gardening & Outdoors,$138.20 ,8,In-Store,1,2,2.0,High,Not Sensitive,0,6,Low,Desktop,Debit Card,3/2/2024,False,True,Need-based,No Preference,12
00-496-3067,32,Female,Middle,Widowed,Bachelor's,Middle,Oslo,Packages),$249.24 ,8,In-Store,4,3,1.0,Medium,Somewhat Sensitive,2,3,High,Smartphone,Cash,8/29/2024,False,True,Need-based,Standard,7
10-330-6387,45,Male,High,Divorced,High School,High,Yeniköy,Furniture,$129.10 ,12,Mixed,5,3,2.0,Low,Not Sensitive,0,8,High,Desktop,Credit Card,4/15/2024,True,False,Planned,No Preference,7
87-590-8963,45,Female,High,Married,Master's,High,Peer,Baby Products,$112.69 ,10,In-Store,1,4,0.0,High,Not Sensitive,0,7,Medium,Smartphone,Debit Card,8/27/2024,False,True,Need-based,Standard,1
47-931-2642,46,Male,Middle,Widowed,Bachelor's,High,Belūsovka,Beauty & Personal Care,$267.85 ,5,Online,5,2,2.0,Medium,Somewhat Sensitive,1,5,High,Smartphone,Credit Card,3/20/2024,False,True,Need-based,Standard,7
76-501-6422,24,Male,Middle,Divorced,High School,Middle,Houston,Home Appliances,$205.36 ,12,Online,1,5,2.0,High,Very Sensitive,0,1,Low,Tablet,Credit Card,4/27/2024,False,False,Impulsive,Express,5
67-593-9579,46,Male,Middle,Single,Bachelor's,High,Rozhdestveno,Baby Products,$71.00 ,12,Online,1,5,2.0,High,Not Sensitive,2,9,Low,Smartphone,Cash,6/26/2024,False,False,Wants-based,No Preference,13
33-484-6674,47,Male,Middle,Single,Master's,Middle,Porangatu,Packages),$280.05 ,10,In-Store,4,1,2.0,Medium,Very Sensitive,1,2,High,Smartphone,Credit Card,7/6/2024,True,False,Wants-based,No Preference,11
17-328-4678,27,Male,High,Widowed,Bachelor's,Middle,Quimbaya,Packages),$119.51 ,11,Mixed,5,5,2.0,Low,Very Sensitive,2,8,Low,Desktop,PayPal,5/7/2024,False,False,Planned,No Preference,1
47-501-3435,38,Female,High,Married,Bachelor's,High,Gimcheon,Books,$225.05 ,5,Mixed,2,1,1.0,High,Somewhat Sensitive,1,1,Low,Desktop,Credit Card,6/27/2024,False,False,Need-based,No Preference,10
35-122-5020,48,Female,High,Married,Bachelor's,Middle,Pukekohe East,Arts & Crafts,$102.96 ,3,Mixed,1,1,1.0,Low,Very Sensitive,0,7,Low,Desktop,PayPal,12/19/2024,False,True,Wants-based,Standard,4
63-684-4073,45,Female,High,Divorced,Bachelor's,High,Blokdesa Situgede,Electronics,$331.57 ,11,Mixed,3,1,0.0,Low,Somewhat Sensitive,1,6,Medium,Desktop,Debit Card,5/6/2024,False,False,Impulsive,Express,14
74-483-2893,26,Non-binary,Middle,Widowed,High School,Middle,Yueyang,Electronics,$101.29 ,11,In-Store,1,1,2.0,Medium,Not Sensitive,2,7,Medium,Smartphone,Cash,10/30/2024,False,True,Need-based,No Preference,4
79-861-6506,20,Male,High,Widowed,High School,High,Baturité,Toys & Games,$352.87 ,11,In-Store,5,3,0.0,High,Not Sensitive,0,6,High,Tablet,PayPal,2/19/2024,False,False,Wants-based,Standard,12
27-262-6874,25,Female,Middle,Married,Bachelor's,High,Yuyapichis,Books,$473.50 ,11,Mixed,2,4,1.0,Low,Somewhat Sensitive,2,3,High,Tablet,Other,7/24/2024,False,True,Impulsive,Express,10
92-908-5062,18,Agender,Middle,Single,Bachelor's,High,Shiroishi,Home Appliances,$72.80 ,11,In-Store,2,4,1.0,High,Somewhat Sensitive,2,10,High,Desktop,PayPal,8/20/2024,True,False,Need-based,Express,3
57-623-5362,43,Genderqueer,High,Married,Bachelor's,High,Jilin,Furniture,$209.79 ,6,Mixed,5,1,2.0,High,Not Sensitive,1,9,Low,Tablet,Other,9/13/2024,True,True,Need-based,Standard,10
71-959-3896,29,Male,High,Married,Bachelor's,High,Cipari,Luxury Goods,$98.63 ,7,Online,4,5,2.0,High,Somewhat Sensitive,1,3,Low,Tablet,Other,1/9/2024,False,True,Planned,Standard,6
78-613-1546,49,Female,Middle,Single,High School,Middle,Torsby,Luxury Goods,$145.02 ,7,In-Store,3,2,0.0,High,Very Sensitive,1,1,Medium,Desktop,Credit Card,6/23/2024,True,True,Wants-based,Express,9
43-664-4451,30,Female,Middle,Divorced,Master's,Middle,San Pablo,Health Supplements,$294.99 ,4,Online,3,5,2.0,Low,Somewhat Sensitive,1,4,High,Desktop,PayPal,11/30/2024,False,False,Need-based,Standard,5
73-139-4306,24,Female,Middle,Married,Master's,High,Puerto López,Luxury Goods,$139.10 ,7,Online,2,5,0.0,Low,Somewhat Sensitive,2,3,Medium,Desktop,PayPal,3/20/2024,False,False,Impulsive,No Preference,8
23-794-8196,36,Genderfluid,High,Married,Master's,Middle,Xinchengzi,Furniture,$268.28 ,9,Mixed,5,2,2.0,High,Very Sensitive,2,2,High,Smartphone,Credit Card,4/9/2024,False,True,Need-based,Standard,8
53-013-1026,40,Male,High,Widowed,Master's,Middle,Duyure,Health Supplements,$53.67 ,7,Online,3,5,1.0,High,Not Sensitive,0,2,High,Desktop,PayPal,4/13/2024,False,False,Planned,Express,11
18-047-5540,50,Female,High,Single,Bachelor's,High,Kuala Lumpur,Sports & Outdoors,$98.02 ,5,In-Store,3,3,1.0,Low,Not Sensitive,0,3,High,Desktop,Debit Card,6/30/2024,True,False,Planned,No Preference,10
89-438-5310,24,Male,High,Divorced,Bachelor's,High,Seleuš,Travel & Leisure (Flights,$231.26 ,10,In-Store,5,1,2.0,Low,Very Sensitive,2,5,Low,Desktop,Cash,4/30/2024,False,True,Impulsive,No Preference,10
03-623-6767,48,Female,Middle,Single,High School,High,Huancabamba,Toys & Games,$423.23 ,12,In-Store,3,3,2.0,High,Somewhat Sensitive,0,7,Low,Tablet,Debit Card,11/5/2024,False,False,Planned,Standard,6
86-749-6914,47,Male,Middle,Single,High School,High,San José Acatempa,Beauty & Personal Care,$276.08 ,4,Mixed,4,5,0.3,High,Somewhat Sensitive,2,10,Low,Smartphone,Credit Card,1/29/2024,False,True,Need-based,No Preference,10
03-977-8103,25,Male,Middle,Widowed,Bachelor's,Middle,Quebrada Canoa,Books,$333.56 ,3,Mixed,4,5,1.0,Low,Not Sensitive,2,2,High,Smartphone,Other,10/25/2024,True,True,Impulsive,No Preference,14
03-827-4021,39,Male,High,Divorced,Bachelor's,Middle,Moate,Groceries,$129.82 ,12,Mixed,1,2,0.0,High,Not Sensitive,2,1,High,Tablet,Cash,6/3/2024,False,False,Impulsive,Standard,8
